record_id,indicator_id,source_id,footnotes_id,members_id,value
r0001,5578,4237,,"222,29160",4.02
r0002,5578,4237,,"222,29161",4.09
r0003,5578,4237,,"222,29162",4.09
r0004,5578,4237,,"222,29163",4.09
r0005,5578,4237,,"222,29164",4.13
r0006,5578,4237,,"222,29165",4.23
r0007,5578,4237,,"222,29166",4.19
r0008,5578,4237,,"222,29167",4.31
r0009,5578,4237,,"222,29168",4.39
r0010,5578,4237,,"222,29169",4.43
r0011,5578,4237,,"222,29170",4.48
r0012,5578,4237,,"222,29171",4.56
r0013,5578,4237,,"222,29172",4.68
r0014,5578,4237,,"222,29173",4.71
r0015,5578,4237,,"222,29174",4.9
r0016,5578,4237,,"222,29175",4.91
r0017,5578,4237,,"222,29176",4.86
r0018,5578,4237,,"222,29177",4.93
r0019,5578,4237,,"222,29178",4.97
r0020,5578,4237,,"222,29179",4.81
r0021,5578,4237,,"222,29180",5.21
r0022,5578,4237,,"222,29181",5.26
r0023,5578,4237,,"222,29182",5.42
r0024,5578,4237,,"222,29183",5.52
r0025,5578,4237,,"222,29184",5.66
r0026,5578,4237,,"222,29185",5.51
r0027,5578,4237,,"222,29186",5.29
r0028,5578,4237,,"222,29187",5.35
r0029,5578,4237,,"222,29188",5.16
r0030,5578,4237,,"222,29189",5.19
r0031,5578,4237,,"222,29190",5.14
r0032,5578,4237,,"222,29191",5.46
r0033,5578,4237,,"222,29192",5.42
r0034,5578,4237,,"233,29160",4.93
r0035,5578,4237,,"233,29161",5.07
r0036,5578,4237,,"233,29162",5.01
r0037,5578,4237,,"233,29163",5.11
r0038,5578,4237,,"233,29164",5.32
r0039,5578,4237,,"233,29165",5
r0040,5578,4237,,"233,29166",5.13
r0041,5578,4237,,"233,29167",5.3
r0042,5578,4237,,"233,29168",5.47
r0043,5578,4237,,"233,29169",5.27
r0044,5578,4237,,"233,29170",5.46
r0045,5578,4237,,"233,29171",5.39
r0046,5578,4237,,"233,29172",5.4
r0047,5578,4237,,"233,29173",5.56
r0048,5578,4237,,"233,29174",5.59
r0049,5578,4237,,"233,29175",5.72
r0050,5578,4237,,"233,29176",5.83
r0051,5578,4237,,"233,29177",5.86
r0052,5578,4237,,"233,29178",5.81
r0053,5578,4237,,"233,29179",5.63
r0054,5578,4237,,"233,29180",5.7
r0055,5578,4237,,"233,29181",5.81
r0056,5578,4237,,"233,29182",5.79
r0057,5578,4237,,"233,29183",5.59
r0058,5578,4237,,"233,29184",5.49
r0059,5578,4237,,"233,29185",5.55
r0060,5578,4237,,"233,29186",5.56
r0061,5578,4237,,"233,29187",5.49
r0062,5578,4237,,"233,29188",5.22
r0063,5578,4237,,"233,29189",5.29
r0064,5578,4237,,"233,29190",4.78
r0065,5578,4237,,"233,29191",4.85
r0066,5578,4237,,"233,29192",4.83
r0067,5578,4237,,"216,29160",7.63
r0068,5578,4237,,"216,29161",7.65
r0069,5578,4237,,"216,29162",7.69
r0070,5578,4237,,"216,29163",7.61
r0071,5578,4237,,"216,29164",7.61
r0072,5578,4237,,"216,29165",7.59
r0073,5578,4237,,"216,29166",7.78
r0074,5578,4237,,"216,29167",7.82
r0075,5578,4237,,"216,29168",7.87
r0076,5578,4237,,"216,29169",7.94
r0077,5578,4237,,"216,29170",7.87
r0078,5578,4237,,"216,29171",7.61
r0079,5578,4237,,"216,29172",7.45
r0080,5578,4237,,"216,29173",7.94
r0081,5578,4237,,"216,29174",8.26
r0082,5578,4237,,"216,29175",8.27
r0083,5578,4237,,"216,29176",8.55
r0084,5578,4237,,"216,29177",8.78
r0085,5578,4237,,"216,29178",8.8
r0086,5578,4237,,"216,29179",8.2
r0087,5578,4237,,"216,29180",8.25
r0088,5578,4237,,"216,29181",8.41
r0089,5578,4237,,"216,29182",8.45
r0090,5578,4237,,"216,29183",8.57
r0091,5578,4237,,"216,29184",8.46
r0092,5578,4237,,"216,29185",8.5
r0093,5578,4237,,"216,29186",8.49
r0094,5578,4237,,"216,29187",8.51
r0095,5578,4237,,"216,29188",8.42
r0096,5578,4237,,"216,29189",8.29
r0097,5578,4237,,"216,29190",7.91
r0098,5578,4237,,"216,29191",8.29
r0099,5578,4237,,"216,29192",8.72
r0100,5578,4237,,"259,29160",16.34
r0101,5578,4237,,"259,29161",16.93
r0102,5578,4237,,"259,29162",16.65
r0103,5578,4237,,"259,29163",16.68
r0104,5578,4237,,"259,29164",16.66
r0105,5578,4237,,"259,29165",17.67
r0106,5578,4237,,"259,29166",18.77
r0107,5578,4237,,"259,29167",19.33
r0108,5578,4237,,"259,29168",18.82
r0109,5578,4237,,"259,29169",17.42
r0110,5578,4237,,"259,29170",17.84
r0111,5578,4237,,"259,29171",17.84
r0112,5578,4237,,"259,29172",16.66
r0113,5578,4237,,"259,29173",15.61
r0114,5578,4237,,"259,29174",16.49
r0115,5578,4237,,"259,29175",17.07
r0116,5578,4237,,"259,29176",16.72
r0117,5578,4237,,"259,29177",16.27
r0118,5578,4237,,"259,29178",16.67
r0119,5578,4237,,"259,29179",15.93
r0120,5578,4237,,"259,29180",15.78
r0121,5578,4237,,"259,29181",15.48
r0122,5578,4237,,"259,29182",16.29
r0123,5578,4237,,"259,29183",16.15
r0124,5578,4237,,"259,29184",15.75
r0125,5578,4237,,"259,29185",14.8
r0126,5578,4237,,"259,29186",13.65
r0127,5578,4237,,"259,29187",12.47
r0128,5578,4237,,"259,29188",11.07
r0129,5578,4237,,"259,29189",9.45
r0130,5578,4237,,"259,29190",6.81
r0131,5578,4237,,"259,29191",6.94
r0132,5578,4237,,"259,29192",7.86
r0133,5578,4237,,"225,29160",3.93
r0134,5578,4237,,"225,29161",3.89
r0135,5578,4237,,"225,29162",3.92
r0136,5578,4237,,"225,29163",3.98
r0137,5578,4237,,"225,29164",3.98
r0138,5578,4237,,"225,29165",4.04
r0139,5578,4237,,"225,29166",3.98
r0140,5578,4237,,"225,29167",4.08
r0141,5578,4237,,"225,29168",4.06
r0142,5578,4237,,"225,29169",3.69
r0143,5578,4237,,"225,29170",3.74
r0144,5578,4237,,"225,29171",3.75
r0145,5578,4237,,"225,29172",3.63
r0146,5578,4237,,"225,29173",3.64
r0147,5578,4237,,"225,29174",3.63
r0148,5578,4237,,"225,29175",3.63
r0149,5578,4237,,"225,29176",3.58
r0150,5578,4237,,"225,29177",3.68
r0151,5578,4237,,"225,29178",3.67
r0152,5578,4237,,"225,29179",3.71
r0153,5578,4237,,"225,29180",3.77
r0154,5578,4237,,"225,29181",3.86
r0155,5578,4237,,"225,29182",3.78
r0156,5578,4237,,"225,29183",3.96
r0157,5578,4237,,"225,29184",3.99
r0158,5578,4237,,"225,29185",3.93
r0159,5578,4237,,"225,29186",3.98
r0160,5578,4237,,"225,29187",3.83
r0161,5578,4237,,"225,29188",3.91
r0162,5578,4237,,"225,29189",3.89
r0163,5578,4237,,"225,29190",3.72
r0164,5578,4237,,"225,29191",3.89
r0165,5578,4237,,"225,29192",3.78
r0166,5578,4237,,"244,29160",2.11
r0167,5578,4237,,"244,29161",2.02
r0168,5578,4237,,"244,29162",2
r0169,5578,4237,,"244,29163",2.01
r0170,5578,4237,,"244,29164",2.07
r0171,5578,4237,,"244,29165",2.23
r0172,5578,4237,,"244,29166",2.33
r0173,5578,4237,,"244,29167",2.33
r0174,5578,4237,,"244,29168",2.33
r0175,5578,4237,,"244,29169",2.45
r0176,5578,4237,,"244,29170",2.44
r0177,5578,4237,,"244,29171",2.33
r0178,5578,4237,,"244,29172",2.37
r0179,5578,4237,,"244,29173",2.34
r0180,5578,4237,,"244,29174",2.46
r0181,5578,4237,,"244,29175",2.48
r0182,5578,4237,,"244,29176",2.46
r0183,5578,4237,,"244,29177",2.57
r0184,5578,4237,,"244,29178",2.73
r0185,5578,4237,,"244,29179",2.86
r0186,5578,4237,,"244,29180",3
r0187,5578,4237,,"244,29181",3.12
r0188,5578,4237,,"244,29182",3.09
r0189,5578,4237,,"244,29183",3.13
r0190,5578,4237,,"244,29184",3.23
r0191,5578,4237,,"244,29185",3.24
r0192,5578,4237,,"244,29186",3.28
r0193,5578,4237,,"244,29187",3.15
r0194,5578,4237,,"244,29188",3.1
r0195,5578,4237,,"244,29189",3.14
r0196,5578,4237,,"244,29190",2.79
r0197,5578,4237,,"244,29191",3.16
r0198,5578,4237,,"244,29192",3.27
r0199,5578,4237,,"224,29160",3.38
r0200,5578,4237,,"224,29161",3.24
r0201,5578,4237,,"224,29162",3.3
r0202,5578,4237,,"224,29163",3.44
r0203,5578,4237,,"224,29164",3.67
r0204,5578,4237,,"224,29165",3.88
r0205,5578,4237,,"224,29166",4.27
r0206,5578,4237,,"224,29167",4.68
r0207,5578,4237,,"224,29168",4.69
r0208,5578,4237,,"224,29169",4.82
r0209,5578,4237,,"224,29170",4.51
r0210,5578,4237,,"224,29171",4.32
r0211,5578,4237,,"224,29172",4.3
r0212,5578,4237,,"224,29173",4.31
r0213,5578,4237,,"224,29174",4.59
r0214,5578,4237,,"224,29175",4.58
r0215,5578,4237,,"224,29176",4.6
r0216,5578,4237,,"224,29177",5.02
r0217,5578,4237,,"224,29178",5.22
r0218,5578,4237,,"224,29179",5.04
r0219,5578,4237,,"224,29180",5.29
r0220,5578,4237,,"224,29181",5.64
r0221,5578,4237,,"224,29182",5.72
r0222,5578,4237,,"224,29183",5.86
r0223,5578,4237,,"224,29184",5.37
r0224,5578,4237,,"224,29185",5.63
r0225,5578,4237,,"224,29186",5.81
r0226,5578,4237,,"224,29187",5.78
r0227,5578,4237,,"224,29188",5.67
r0228,5578,4237,,"224,29189",5.89
r0229,5578,4237,,"224,29190",5.49
r0230,5578,4237,,"224,29191",5.53
r0231,5578,4237,,"224,29192",5.56
r0232,5578,4237,,"229,29160",3.71
r0233,5578,4237,,"229,29161",3.7
r0234,5578,4237,,"229,29162",3.85
r0235,5578,4237,,"229,29163",3.93
r0236,5578,4237,,"229,29164",4.14
r0237,5578,4237,,"229,29165",4.28
r0238,5578,4237,,"229,29166",4.55
r0239,5578,4237,,"229,29167",4.62
r0240,5578,4237,,"229,29168",4.4
r0241,5578,4237,,"229,29169",4.09
r0242,5578,4237,,"229,29170",3.98
r0243,5578,4237,,"229,29171",4.33
r0244,5578,4237,,"229,29172",4.21
r0245,5578,4237,,"229,29173",4.24
r0246,5578,4237,,"229,29174",4.54
r0247,5578,4237,,"229,29175",4.59
r0248,5578,4237,,"229,29176",4.7
r0249,5578,4237,,"229,29177",4.59
r0250,5578,4237,,"229,29178",4.63
r0251,5578,4237,,"229,29179",4.77
r0252,5578,4237,,"229,29180",4.94
r0253,5578,4237,,"229,29181",4.87
r0254,5578,4237,,"229,29182",4.78
r0255,5578,4237,,"229,29183",4.91
r0256,5578,4237,,"229,29184",4.96
r0257,5578,4237,,"229,29185",4.78
r0258,5578,4237,,"229,29186",4.65
r0259,5578,4237,,"229,29187",4.51
r0260,5578,4237,,"229,29188",4.48
r0261,5578,4237,,"229,29189",4.44
r0262,5578,4237,,"229,29190",4
r0263,5578,4237,,"229,29191",4.22
r0264,5578,4237,,"229,29192",4.33
r0265,5578,4237,,"221,29160",4.44
r0266,5578,4237,,"221,29161",4.5
r0267,5578,4237,,"221,29162",4.52
r0268,5578,4237,,"221,29163",4.26
r0269,5578,4237,,"221,29164",4.06
r0270,5578,4237,,"221,29165",3.79
r0271,5578,4237,,"221,29166",3.67
r0272,5578,4237,,"221,29167",3.85
r0273,5578,4237,,"221,29168",3.78
r0274,5578,4237,,"221,29169",3.76
r0275,5578,4237,,"221,29170",3.64
r0276,5578,4237,,"221,29171",3.53
r0277,5578,4237,,"221,29172",3.79
r0278,5578,4237,,"221,29173",3.78
r0279,5578,4237,,"221,29174",4.01
r0280,5578,4237,,"221,29175",4.16
r0281,5578,4237,,"221,29176",4.17
r0282,5578,4237,,"221,29177",4.25
r0283,5578,4237,,"221,29178",4.3
r0284,5578,4237,,"221,29179",4.33
r0285,5578,4237,,"221,29180",4.74
r0286,5578,4237,,"221,29181",4.67
r0287,5578,4237,,"221,29182",4.76
r0288,5578,4237,,"221,29183",4.87
r0289,5578,4237,,"221,29184",4.87
r0290,5578,4237,,"221,29185",4.93
r0291,5578,4237,,"221,29186",5.07
r0292,5578,4237,,"221,29187",5
r0293,5578,4237,,"221,29188",4.93
r0294,5578,4237,,"221,29189",4.98
r0295,5578,4237,,"221,29190",4.67
r0296,5578,4237,,"221,29191",4.96
r0297,5578,4237,,"221,29192",5.09
r0298,5578,4237,,"242,29160",8.19
r0299,5578,4237,,"242,29161",7.25
r0300,5578,4237,,"242,29162",6.87
r0301,5578,4237,,"242,29163",6.75
r0302,5578,4237,,"242,29164",6.57
r0303,5578,4237,,"242,29165",6.85
r0304,5578,4237,,"242,29166",6.53
r0305,5578,4237,,"242,29167",6.53
r0306,5578,4237,,"242,29168",6.47
r0307,5578,4237,,"242,29169",6.43
r0308,5578,4237,,"242,29170",6.08
r0309,5578,4237,,"242,29171",6.4
r0310,5578,4237,,"242,29172",6.19
r0311,5578,4237,,"242,29173",6.55
r0312,5578,4237,,"242,29174",6.14
r0313,5578,4237,,"242,29175",6.25
r0314,5578,4237,,"242,29176",6.25
r0315,5578,4237,,"242,29177",6.55
r0316,5578,4237,,"242,29178",6.41
r0317,5578,4237,,"242,29179",6.72
r0318,5578,4237,,"242,29180",7.05
r0319,5578,4237,,"242,29181",7.16
r0320,5578,4237,,"242,29182",7.28
r0321,5578,4237,,"242,29183",7.4
r0322,5578,4237,,"242,29184",7.65
r0323,5578,4237,,"242,29185",7.61
r0324,5578,4237,,"242,29186",7.69
r0325,5578,4237,,"242,29187",7.94
r0326,5578,4237,,"242,29188",7.64
r0327,5578,4237,,"242,29189",7.69
r0328,5578,4237,,"242,29190",7.77
r0329,5578,4237,,"242,29191",7.67
r0330,5578,4237,,"242,29192",7.23
r0331,5578,4237,,"264,29160",2.23
r0332,5578,4237,,"264,29161",2.34
r0333,5578,4237,,"264,29162",2.49
r0334,5578,4237,,"264,29163",2.5
r0335,5578,4237,,"264,29164",2.71
r0336,5578,4237,,"264,29165",2.72
r0337,5578,4237,,"264,29166",2.79
r0338,5578,4237,,"264,29167",2.94
r0339,5578,4237,,"264,29168",3.14
r0340,5578,4237,,"264,29169",3.16
r0341,5578,4237,,"264,29170",3.19
r0342,5578,4237,,"264,29171",3.23
r0343,5578,4237,,"264,29172",3.46
r0344,5578,4237,,"264,29173",3.14
r0345,5578,4237,,"264,29174",3.02
r0346,5578,4237,,"264,29175",3.12
r0347,5578,4237,,"264,29176",3.3
r0348,5578,4237,,"264,29177",3.38
r0349,5578,4237,,"264,29178",3.35
r0350,5578,4237,,"264,29179",3.26
r0351,5578,4237,,"264,29180",3.36
r0352,5578,4237,,"264,29181",3.35
r0353,5578,4237,,"264,29182",3.39
r0354,5578,4237,,"264,29183",3.32
r0355,5578,4237,,"264,29184",3.32
r0356,5578,4237,,"264,29185",3.51
r0357,5578,4237,,"264,29186",3.59
r0358,5578,4237,,"264,29187",3.48
r0359,5578,4237,,"264,29188",3.68
r0360,5578,4237,,"264,29189",3.9
r0361,5578,4237,,"264,29190",3.74
r0362,5578,4237,,"264,29191",3.97
r0363,5578,4237,,"264,29192",4.17
r0364,5578,4237,,"235,29160",1.43
r0365,5578,4237,,"235,29161",1.43
r0366,5578,4237,,"235,29162",1.52
r0367,5578,4237,,"235,29163",1.55
r0368,5578,4237,,"235,29164",1.52
r0369,5578,4237,,"235,29165",1.58
r0370,5578,4237,,"235,29166",1.53
r0371,5578,4237,,"235,29167",1.54
r0372,5578,4237,,"235,29168",1.66
r0373,5578,4237,,"235,29169",1.69
r0374,5578,4237,,"235,29170",1.76
r0375,5578,4237,,"235,29171",1.78
r0376,5578,4237,,"235,29172",1.87
r0377,5578,4237,,"235,29173",1.86
r0378,5578,4237,,"235,29174",1.86
r0379,5578,4237,,"235,29175",1.93
r0380,5578,4237,,"235,29176",1.89
r0381,5578,4237,,"235,29177",1.97
r0382,5578,4237,,"235,29178",1.85
r0383,5578,4237,,"235,29179",1.92
r0384,5578,4237,,"235,29180",1.9
r0385,5578,4237,,"235,29181",1.91
r0386,5578,4237,,"235,29182",1.92
r0387,5578,4237,,"235,29183",1.96
r0388,5578,4237,,"235,29184",2
r0389,5578,4237,,"235,29185",2.15
r0390,5578,4237,,"235,29186",2.22
r0391,5578,4237,,"235,29187",2.15
r0392,5578,4237,,"235,29188",2.24
r0393,5578,4237,,"235,29189",2.27
r0394,5578,4237,,"235,29190",2.15
r0395,5578,4237,,"235,29191",2.3
r0396,5578,4237,,"235,29192",2.21
r0397,5578,4237,,"258,29160",9.29
r0398,5578,4237,,"258,29161",9.75
r0399,5578,4237,,"258,29162",10.21
r0400,5578,4237,,"258,29163",10.32
r0401,5578,4237,,"258,29164",10.23
r0402,5578,4237,,"258,29165",10.24
r0403,5578,4237,,"258,29166",10.6
r0404,5578,4237,,"258,29167",10.45
r0405,5578,4237,,"258,29168",10.28
r0406,5578,4237,,"258,29169",10.55
r0407,5578,4237,,"258,29170",9.94
r0408,5578,4237,,"258,29171",9.8
r0409,5578,4237,,"258,29172",9.88
r0410,5578,4237,,"258,29173",10.15
r0411,5578,4237,,"258,29174",10.72
r0412,5578,4237,,"258,29175",10.76
r0413,5578,4237,,"258,29176",11.4
r0414,5578,4237,,"258,29177",11.07
r0415,5578,4237,,"258,29178",11.83
r0416,5578,4237,,"258,29179",11.67
r0417,5578,4237,,"258,29180",10.92
r0418,5578,4237,,"258,29181",11.36
r0419,5578,4237,,"258,29182",11.58
r0420,5578,4237,,"258,29183",11.25
r0421,5578,4237,,"258,29184",11.06
r0422,5578,4237,,"258,29185",10.99
r0423,5578,4237,,"258,29186",11.03
r0424,5578,4237,,"258,29187",10.78
r0425,5578,4237,,"258,29188",10.71
r0426,5578,4237,,"258,29189",10.82
r0427,5578,4237,,"258,29190",10.59
r0428,5578,4237,,"258,29191",11.48
r0429,5578,4237,,"258,29192",11.19
r0430,5578,4237,,"249,29160",5.15
r0431,5578,4237,,"249,29161",4.25
r0432,5578,4237,,"249,29162",3.66
r0433,5578,4237,,"249,29163",3.32
r0434,5578,4237,,"249,29164",3.44
r0435,5578,4237,,"249,29165",3.53
r0436,5578,4237,,"249,29166",3.77
r0437,5578,4237,,"249,29167",3.96
r0438,5578,4237,,"249,29168",3.9
r0439,5578,4237,,"249,29169",3.93
r0440,5578,4237,,"249,29170",3.95
r0441,5578,4237,,"249,29171",3.85
r0442,5578,4237,,"249,29172",3.74
r0443,5578,4237,,"249,29173",3.65
r0444,5578,4237,,"249,29174",3.58
r0445,5578,4237,,"249,29175",3.57
r0446,5578,4237,,"249,29176",3.66
r0447,5578,4237,,"249,29177",3.73
r0448,5578,4237,,"249,29178",3.67
r0449,5578,4237,,"249,29179",3.75
r0450,5578,4237,,"249,29180",3.86
r0451,5578,4237,,"249,29181",3.85
r0452,5578,4237,,"249,29182",3.94
r0453,5578,4237,,"249,29183",3.97
r0454,5578,4237,,"249,29184",3.79
r0455,5578,4237,,"249,29185",3.97
r0456,5578,4237,,"249,29186",3.79
r0457,5578,4237,,"249,29187",3.69
r0458,5578,4237,,"249,29188",3.73
r0459,5578,4237,,"249,29189",3.33
r0460,5578,4237,,"249,29190",2.92
r0461,5578,4237,,"249,29191",3.2
r0462,5578,4237,,"249,29192",2.99
r0463,5578,4237,,"256,29160",17.06
r0464,5578,4237,,"256,29161",16.83
r0465,5578,4237,,"256,29162",16.59
r0466,5578,4237,,"256,29163",12.85
r0467,5578,4237,,"256,29164",9.83
r0468,5578,4237,,"256,29165",9.43
r0469,5578,4237,,"256,29166",10.2
r0470,5578,4237,,"256,29167",10.46
r0471,5578,4237,,"256,29168",10.66
r0472,5578,4237,,"256,29169",10.92
r0473,5578,4237,,"256,29170",11.48
r0474,5578,4237,,"256,29171",12.65
r0475,5578,4237,,"256,29172",13.82
r0476,5578,4237,,"256,29173",16.51
r0477,5578,4237,,"256,29174",17.18
r0478,5578,4237,,"256,29175",19.42
r0479,5578,4237,,"256,29176",21.98
r0480,5578,4237,,"256,29177",22.32
r0481,5578,4237,,"256,29178",22.07
r0482,5578,4237,,"256,29179",21.27
r0483,5578,4237,,"256,29180",23.14
r0484,5578,4237,,"256,29181",23.74
r0485,5578,4237,,"256,29182",23.29
r0486,5578,4237,,"256,29183",23.9
r0487,5578,4237,,"256,29184",23.81
r0488,5578,4237,,"256,29185",23.1
r0489,5578,4237,,"256,29186",20.45
r0490,5578,4237,,"256,29187",20.57
r0491,5578,4237,,"256,29188",20.41
r0492,5578,4237,,"256,29189",20.09
r0493,5578,4237,,"256,29190",18.5
r0494,5578,4237,,"256,29191",16.99
r0495,5578,4237,,"256,29192",17.73
r0496,5578,4237,,"239,29160",2.43
r0497,5578,4237,,"239,29161",2.38
r0498,5578,4237,,"239,29162",2.38
r0499,5578,4237,,"239,29163",2.27
r0500,5578,4237,,"239,29164",2.33
r0501,5578,4237,,"239,29165",2.4
r0502,5578,4237,,"239,29166",2.27
r0503,5578,4237,,"239,29167",2.23
r0504,5578,4237,,"239,29168",2.21
r0505,5578,4237,,"239,29169",2
r0506,5578,4237,,"239,29170",2.01
r0507,5578,4237,,"239,29171",2.09
r0508,5578,4237,,"239,29172",2.09
r0509,5578,4237,,"239,29173",2.29
r0510,5578,4237,,"239,29174",2.32
r0511,5578,4237,,"239,29175",2.27
r0512,5578,4237,,"239,29176",2.36
r0513,5578,4237,,"239,29177",2.41
r0514,5578,4237,,"239,29178",2.39
r0515,5578,4237,,"239,29179",2.32
r0516,5578,4237,,"239,29180",2.28
r0517,5578,4237,,"239,29181",2.48
r0518,5578,4237,,"239,29182",2.49
r0519,5578,4237,,"239,29183",2.49
r0520,5578,4237,,"239,29184",2.45
r0521,5578,4237,,"239,29185",2.53
r0522,5578,4237,,"239,29186",2.39
r0523,5578,4237,,"239,29187",2.27
r0524,5578,4237,,"239,29188",2.24
r0525,5578,4237,,"239,29189",2.31
r0526,5578,4237,,"239,29190",2.24
r0527,5578,4237,,"239,29191",2.28
r0528,5578,4237,,"239,29192",2.27
r0529,5578,4237,,"240,29160",2.41
r0530,5578,4237,,"240,29161",2.04
r0531,5578,4237,,"240,29162",2.2
r0532,5578,4237,,"240,29163",2.3
r0533,5578,4237,,"240,29164",2.32
r0534,5578,4237,,"240,29165",2.14
r0535,5578,4237,,"240,29166",2.11
r0536,5578,4237,,"240,29167",2.23
r0537,5578,4237,,"240,29168",2.28
r0538,5578,4237,,"240,29169",2.48
r0539,5578,4237,,"240,29170",2.55
r0540,5578,4237,,"240,29171",2.55
r0541,5578,4237,,"240,29172",2.61
r0542,5578,4237,,"240,29173",2.76
r0543,5578,4237,,"240,29174",2.66
r0544,5578,4237,,"240,29175",2.69
r0545,5578,4237,,"240,29176",2.72
r0546,5578,4237,,"240,29177",2.71
r0547,5578,4237,,"240,29178",2.65
r0548,5578,4237,,"240,29179",2.62
r0549,5578,4237,,"240,29180",2.65
r0550,5578,4237,,"240,29181",2.81
r0551,5578,4237,,"240,29182",2.84
r0552,5578,4237,,"240,29183",2.83
r0553,5578,4237,,"240,29184",2.94
r0554,5578,4237,,"240,29185",3.06
r0555,5578,4237,,"240,29186",3.07
r0556,5578,4237,,"240,29187",3.03
r0557,5578,4237,,"240,29188",2.96
r0558,5578,4237,,"240,29189",2.99
r0559,5578,4237,,"240,29190",2.93
r0560,5578,4237,,"240,29191",2.99
r0561,5578,4237,,"240,29192",2.99
r0562,5578,4237,,"241,29160",3.24
r0563,5578,4237,,"241,29161",3.36
r0564,5578,4237,,"241,29162",3.56
r0565,5578,4237,,"241,29163",3.58
r0566,5578,4237,,"241,29164",3.61
r0567,5578,4237,,"241,29165",3.61
r0568,5578,4237,,"241,29166",3.54
r0569,5578,4237,,"241,29167",3.45
r0570,5578,4237,,"241,29168",3.75
r0571,5578,4237,,"241,29169",3.38
r0572,5578,4237,,"241,29170",3.3
r0573,5578,4237,,"241,29171",3.7
r0574,5578,4237,,"241,29172",3.38
r0575,5578,4237,,"241,29173",3.36
r0576,5578,4237,,"241,29174",3.31
r0577,5578,4237,,"241,29175",3.74
